id;app_code;app_name;app_desc;cstd_module;app_message
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon
2;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration
3;Multi-channelled Licensed;grey Cambridgeshire;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key
4;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte
5;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Isla
6;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding
7;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi
8;Frozen bus;hard drive Robust Networked;Poland;Small partnerships;Outdoors
9;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares
10;maroon;EXE projection Fresh;support Gorgeous;withdrawal;copying
