id;date;description;amount
1;2019-09-10T13:41:00;National Awesome sky blue;4522
2;2019-09-10T04:57:54;navigating;74732
3;2019-09-10T21:31:14;generating compelling;28093
4;2019-09-10T13:27:51;bifurcated scalable;16526
5;2019-09-11T02:14:37;Administrator;77224
6;2019-09-10T18:33:21;24 hour;1407
7;2019-09-10T08:27:43;monitor;72900
8;2019-09-10T09:04:08;Checking Account Identity deposit;91495
9;2019-09-10T07:19:07;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-09-10T12:03:03;New York tangible Mississippi;38292
