id;date;description;amount
1;2019-08-13T00:07:46;National Awesome sky blue;4522
2;2019-08-12T15:24:40;navigating;74732
3;2019-08-13T07:58:00;generating compelling;28093
4;2019-08-12T23:54:37;bifurcated scalable;16526
5;2019-08-13T12:41:23;Administrator;77224
6;2019-08-13T05:00:07;24 hour;1407
7;2019-08-12T18:54:29;monitor;72900
8;2019-08-12T19:30:54;Checking Account Identity deposit;91495
9;2019-08-12T17:45:53;Investment Account archive Fantastic Plastic Chicken;32518
10;2019-08-12T22:29:49;New York tangible Mississippi;38292
