id;group_code;internal_code;prop_code;start_date;end_date;value_date;value_string;value_bool;value_number
1;Springs connecting;SAS;Planner Refined;2019-08-27T18:56:06;2019-08-28T04:15:18;2019-08-27;Burg;false;75513
2;Credit Card Account transmitter cyan;Checking Account;seamless New York mesh;2019-08-28T03:26:21;2019-08-28T11:45:16;2019-08-27;real-time Berkshire solid state;false;29795
3;Switzerland CFP Franc;Granite Configuration Buckinghamshire;Practical Steel Chips;2019-08-27T23:02:22;2019-08-28T02:06:57;2019-08-28;orchid;true;24014
4;Awesome Granite;Delaware;Metal deposit;2019-08-28T09:34:24;2019-08-27T21:13:22;2019-08-28;Human Mission;true;97311
5;Savings Account;Licensed Wooden Pants;e-business;2019-08-28T13:10:31;2019-08-28T11:48:35;2019-08-28;Kiribati;false;20633
6;innovative Bedfordshire Lempira;Licensed;Credit Card Account Sleek;2019-08-27T16:58:22;2019-08-28T10:10:16;2019-08-27;Small Plastic Pizza primary;true;59727
7;Manager;cultivate Bedfordshire;navigate Kiribati;2019-08-27T20:38:47;2019-08-27T19:59:58;2019-08-28;Concrete;false;71334
8;Internal Buckinghamshire Antarctica (the;ADP;Hungary Configurable;2019-08-28T07:28:36;2019-08-27T20:14:28;2019-08-28;Toys;false;84070
9;Incredible;Concrete National;Ranch impactful;2019-08-27T22:22:01;2019-08-28T01:58:34;2019-08-28;Nebraska;true;58684
10;quantify architectures;empower;customized payment;2019-08-28T00:14:24;2019-08-28T08:04:27;2019-08-28;Director Personal Loan Account;false;753
